,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
0,-0.1335622815470158,1.3154482961638432,-0.11036172580528118,-0.3249241233817315,-0.3036883769734838,-0.3044540033353525,-0.28159527992612504,0,1,0,0,0,0,0,145205.5,210971.9,154234.1
0,0.21498147007025262,1.4572700515107209,-0.5528741905169394,-0.167218458047314,-0.3728371457224387,-0.35813082998261464,-0.29303631704985744,0,0,0,0,1,0,0,73629.25,107837.2,79161.9
0,-0.1286875437621589,0.6800369242607357,-0.3421539692256736,0.09737660268043094,0.16823392236887802,0.1715559843667671,0.28492464622264496,0,1,0,0,0,0,0,41198.5,60622.600000000006,46006.0
0,-0.4357960242081437,-0.7403433070021865,-0.6055542458397559,-1.2659012598770893,-0.3366986560124502,-0.34147200408614076,-0.27212394516435395,0,0,0,0,1,0,0,1111.25,1550.5,1145.2
0,-0.5430402554749955,-0.8732648114270021,-0.7741304228727687,-1.6207390068795287,-0.6128124678281129,-0.6152978269663345,-0.5678447203441959,0,0,0,0,1,0,0,101.0,145.6,119.2
0,1.8431438902124575,1.0684039481402499,3.7247463016957574,0.5845118800467428,6.385891702811136,6.389288616157045,6.79949169608472,0,0,0,0,0,0,1,70113.0,98868.9,72002.5
0,-0.4479828686702859,-0.6743816342807355,-0.5212661573232495,-1.0381041877273751,-0.4909653808519411,-0.49219955163550866,-0.4467219946038766,0,0,0,0,1,0,0,512.75,768.2,591.9
0,2.9399598918052607,0.2773629549737946,1.4173598785563963,1.0383537391757887,0.7724379694571843,0.7900003846009769,0.3380612090546315,0,0,1,0,0,0,0,171521.0,262154.7,197295.9
0,-0.3504881129731479,-0.5219960297086066,-0.44751407987130654,-0.46861150735308965,0.3720270035663677,0.3658533269981584,-0.07326433134797881,0,0,1,0,0,0,0,6046.0,8502.1,6306.9
0,-0.5357281487977101,0.10526371050887387,-0.7425223896790788,-1.1493742960466586,-0.6099905155444637,-0.6145069680714236,-0.5708865833889978,0,0,1,0,0,0,0,25.75,37.8,29.9
0,-0.4114223352838592,-0.8539670711100076,-0.6898423343562623,1.359021925355771,-0.551101402772497,-0.5545685705405999,-0.5073706669758963,0,0,1,0,0,0,0,504.0,680.0,535.6
0,-0.270054939523009,0.03090086635631751,-0.647698290098009,-0.903178229607929,-0.5918993950903714,-0.5907884568102854,-0.5476797177946139,0,0,1,0,0,0,0,65493.5,93209.8,67986.40000000001
0,-0.2627428328457237,1.4260775833259238,-0.16304178112809764,0.19112385929589024,0.3933775882860703,0.38616896833532166,-0.016422353257054472,0,0,1,0,0,0,0,31151.5,43664.2,31519.2
0,0.7658268397590824,-0.3950634791752721,1.8914803764617445,1.1268441402801008,1.6663186998019484,1.6547211469449485,1.1212623645394366,0,1,0,0,0,0,0,12412.0,18171.4,13779.8
