,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,dekatotoro/SlideMenuControllerSwift,Swift,35,2838,23,1060,784.8810000000001,729.0,701.1999999999999,430.25,602.8000000000001,451.5
0,IFTTT/RazzleDazzle,Swift,7,2763,8,519,501.831,453.7,446.25,6720.0,9517.1,7109.900000000001
0,lynckia/licode,C++,883,26705,59,4109,1544.4540000000002,1606.7,1634.05,123534.0,176016.8,128864.0
0,RNCryptor/RNCryptor,Swift,41,1916,28,4344,2817.5130000000004,2590.7,2790.35,1174.25,1713.4,1302.8999999999999
0,dream-num/Luckysheet,JavaScript,253,28253,72,1173,1829.835,1754.2,1495.2,30869.0,44056.1,31996.500000000004
0,pond3r/ggpo,C++,29,494,15,35,197.80200000000002,189.5,174.85,809.25,1108.5,847.2
0,callmePicacho/Data-Structres,C++,4,6646,2,1202,38.295,36.0,37.5,58.25,81.6,59.9
0,grab/front-end-guide,JavaScript,14,4399,9,568,3826.1700000000005,3454.2999999999997,3867.6499999999996,45.5,62.300000000000004,50.1
0,freshOS/Stevia,Swift,43,1220,25,2534,17281.035,15610.3,10103.550000000001,13233.0,16579.600000000002,11414.0
0,malcommac/SwiftLocation,Swift,11,8103,29,3137,1392.606,1310.5,1332.15,11424.25,15622.5,11210.4
0,designmodo/Flat-UI,JavaScript,34,36190,28,1708,1179.819,1081.7,915.65,12838.5,19493.6,14438.6
0,rttrorg/rttr,C++,65,6648,17,2065,738.927,731.2,638.5,16255.5,24921.6,18807.0
0,James-Yu/LaTeX-Workshop,TypeScript,851,35902,103,2591,5929.0650000000005,5905.2,6071.9,281510.5,399743.10000000003,289905.7
0,xmartlabs/XLActionController,Swift,42,8991,17,2150,410.922,381.3,358.95,828.25,1109.3,869.6
0,onevcat/FengNiao,Swift,26,462,14,2407,5411.25,4887.099999999999,5572.849999999999,2911.0,4379.7,3284.1
0,checkly/headless-recorder,JavaScript,59,12114,21,1162,1450.2150000000001,1330.8,1141.3,10215.5,14882.7,10926.1
0,developit/mitt,TypeScript,39,217,32,1619,16480.503,14860.099999999999,16310.65,1582.75,2419.0,1822.3000000000002
0,andreamazz/BubbleTransition,Swift,16,512,11,2002,2394.2700000000004,2167.8999999999996,1605.2499999999998,332.5,504.20000000000005,386.0
0,CedricGuillemet/ImGuizmo,C++,92,4130,48,2646,4278.384,3885.2,3977.6,17545.5,25207.5,18262.9
0,ChiliLabs/CHIPageControl,Swift,20,2477,10,1932,178.821,165.4,144.2,397.5,570.1,458.7
0,getumbrel/llama-gpt,TypeScript,12,1788,92,78,8090.901000000001,7323.0,6860.2,386.75,565.7,427.8
0,Ramotion/paper-onboarding,Swift,14,23197,21,1293,2445.885,2223.7,2425.25,287.5,391.9,303.7
0,mczachurski/wallpapper,Swift,6,4690,7,1679,230.103,212.7,203.95,29.5,40.5,31.9
0,shuding/nextra,TypeScript,39,25334,136,714,25266.708000000002,22911.8,24381.3,1717.5,2379.2,1729.8
0,rechsteiner/Parchment,Swift,182,5766,31,2141,981.351,950.9,941.05,16366.25,23039.3,16965.600000000002
0,sindresorhus/Plash,Swift,13,8912,8,360,23168.807999999997,20892.8,23727.0,201.5,296.70000000000005,230.89999999999998
0,shoheiyokoyama/Gemini,Swift,8,3707,5,1206,708.624,646.5,662.9499999999999,229.0,294.2,223.8
0,vercel/commerce,TypeScript,83,10814,116,232,23259.051,21092.6,23379.6,42579.25,63014.600000000006,46633.7
0,acdlite/recompose,JavaScript,246,1325,97,1153,23527.116,21258.699999999997,21871.85,12381.25,17854.8,13509.5
0,szimek/signature_pad,TypeScript,94,2669,46,3996,2239.7580000000003,2053.2,1761.9999999999998,10410.25,14741.400000000001,10656.5
0,helmetjs/helmet,TypeScript,43,2247,45,3164,4488.84,4131.3,3763.75,1904.25,2646.3,1941.0
0,keplergl/kepler.gl,TypeScript,1123,25296,104,2188,8465.526,7759.099999999999,8049.249999999999,417405.0,582243.1,421275.5
0,cuixiaorui/mini-vue,TypeScript,21,1572,13,828,1369.962,1267.8000000000002,1354.1,51.25,59.1,51.8
0,boardgameio/boardgame.io,TypeScript,369,13663,151,1278,4860.468000000001,4563.3,3995.1499999999996,32421.75,46630.0,34454.9
0,ds300/patch-package,TypeScript,77,2468,49,2255,7133.193,6467.5,6129.95,42064.0,66680.2,50038.200000000004
0,getgridea/gridea,TypeScript,39,12125,17,1780,5582.745000000001,5087.8,5725.2,17746.25,25435.4,18446.1
0,rough-stuff/wired-elements,TypeScript,44,1917,12,1527,1519.479,1397.8999999999999,1183.95,27299.25,38226.7,27654.2
0,sindresorhus/pageres,TypeScript,49,8964,31,2516,27002.637,24366.699999999997,27585.949999999997,1089.75,1506.7,1126.8
0,retejs/rete,TypeScript,17,1797,19,2224,13551.768,12266.0,6546.6,91.0,117.3,94.5
0,yiminghe/async-validator,TypeScript,61,1128,43,2716,8514.477,7700.5,8489.25,4565.5,7111.100000000001,5350.5
