pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
-0.32459956873378276,-0.2390513420719888,-0.7922104641031146,-1.7860290760651996,-0.8676255880081236,-0.8704621972389922,-0.938768620311655,0,0,0,0,1,0,0,3.081,2.672,3.44
-0.24665347993666067,-0.21720762111407504,-0.12428217384350791,2.0548139247549635,-0.1533694958925037,-0.16056340008472278,0.06009807675251427,0,0,0,1,0,0,0,3.307,3.261,2.947
-0.1719216628425127,-0.06947558238751282,-0.5784734112200404,0.6115019951655055,-0.8281562741442454,-0.7777851343969708,-0.6637707124938853,0,0,0,0,1,0,0,5.913,4.361,6.357
-0.32459956873378276,-0.2380776878432446,-0.8011161746399093,0.3079271612666158,-0.8610473690308106,-0.87196304036194,-0.9676614586564863,0,0,0,0,1,0,0,2.653,2.903,2.642
-0.10442195708005646,-0.14934345100624138,1.0512716170133998,-1.363509716603587,3.301234133351149,3.2320924793385886,2.6960536321765027,0,0,0,1,0,0,0,13.106,10.443,8.001
-0.2651355422287618,-0.23309652925271257,-0.5695677006832457,-0.8016299801766945,-0.021112672243368193,-0.0348677885378516,0.1741215995062235,0,0,0,0,1,0,0,5.542,5.473,5.88
-0.3278138404367569,-0.2343759203165697,-0.810021885176704,-0.8264840601450247,-0.982571309085383,-0.9905296470748096,-1.0063572242968855,0,0,0,0,1,0,0,1.441,1.399,1.223
-0.31656388947634745,-0.23891493640709227,-0.7031533587351669,-0.3950882435518656,-0.5342137524737843,-0.5395262886290209,-0.4966050049273611,0,0,0,0,1,0,0,2.796,2.71,2.891
-0.3278138404367569,-0.23945115177944415,-0.810021885176704,-1.1016542312229656,-0.8991317946889386,-0.9091089076548958,-1.0099688290899895,0,0,0,0,1,0,0,1.003,1.005,1.003
-0.3229924328822957,-0.23925830239114218,-0.7654933324927302,-1.88544539593852,-0.9174815634151275,-0.9199900202962669,-0.9140033303017996,0,0,0,0,1,0,0,2.611,2.044,3.2
-0.19442156476333144,-0.09424026603165922,3.2064535669177303,0.0016893902282621507,0.6713314306316874,0.6660259498787318,0.35109023436831543,0,0,0,1,0,0,0,5.28,3.693,6.088
