,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_Swift,pr_points1,pr_points2,pr_points3
0,-0.3162800448050723,0.18838060150556998,-0.3263894414097248,-0.9336199271758286,0.040637383572501184,0.03181017741909442,-0.23764535307648893,1,3.64,3.855,3.12
0,1.5737611442537467,-0.3656149181467536,0.9194514519407739,1.4190329813426785,0.5890749095968942,0.7108691162020887,1.676792876040945,1,6.12,5.68,6.555
0,-0.018300578061564824,-0.5512156970549735,0.13717926309278633,0.349645295652448,0.14854754494304145,0.2593156670928266,0.5608903788548473,1,5.885,5.667,5.946
0,-0.060869073310637324,-0.33281024361382633,-0.38433552947253874,-1.1143292901053008,-0.7909056246357802,-0.7931565374160506,-0.7169529311005426,1,3.649,3.335,3.616
0,0.6202268506745228,-0.5997502422641173,0.6007479675952975,1.918843054761535,-0.4938352980392338,-0.43495640473825925,-0.3409524232913821,1,6.622,5.98,7.396
0,0.007240519087878678,-0.5227966741975713,0.5717749235638905,1.2017242537692627,0.8753542200563864,0.8477873136349127,0.9489899129053916,1,4.552,4.396,4.586
0,-0.12897866570915334,-0.5917391185368249,-0.35536248544113175,1.2577670308803015,0.0469850401237093,0.16043030228023183,0.5106328852367913,1,1.883,1.72,2.039
0,0.6968501421228532,-0.3087183970762754,0.6007479675952975,2.2459498762667818,-0.49320053238411304,-0.4999579732164685,-0.24602160201283152,1,6.681,6.481,7.142
0,0.8756378221689578,-0.5002836622632093,1.411993200474692,0.5806787849673427,2.0706179486489007,2.033720185338411,1.6860998193035481,1,3.637,3.26,4.273
0,-0.35884854005414485,-0.029966376579903562,-0.38433552947253874,-1.1063231790894381,-0.07425520000436824,-0.09680994744204298,-0.22275424385632414,1,1.599,1.599,1.448
0,0.43292547157860367,-0.28392484627064046,0.8904784079093669,1.671797343414915,1.0429323530082846,1.006833704592233,0.8484749256692796,1,3.588,3.12,3.871
0,0.5265761611265632,-0.05803454730326385,0.36896361534404193,0.5898286261283286,0.7579225738590337,0.7820942391090628,0.43803872778848774,1,4.079,4.185,3.33
0,-0.035327976161193826,0.2853327412125103,0.5717749235638905,3.6012700982378227,0.3459596636856181,0.31740217509463065,0.7237618859503994,1,2.802,2.363,3.287
