pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
-0.5422722813039081,-0.3912444321620972,-0.6940624946618448,-0.9211915840999838,-1.1625192091993424,-1.1543884520211065,-1.1654152270549472,0,0,1,0,0,0,0,2.665,2.707,2.827
0.39627902497912537,-0.37946372526232747,-0.39522636950868295,0.6952523824836915,-0.8954651708163403,-0.8988362247097902,-0.9195514474425425,0,0,0,0,1,0,0,2.356,2.332,2.048
-0.590308371782961,-0.3951817922577593,-0.8221351197274855,-1.7581503490199757,-0.9420618416786652,-0.9451516603632271,-1.0190854246874435,0,0,0,0,1,0,0,3.081,2.672,3.44
-0.23188523513156634,-0.32233278714120717,0.2451367558195209,2.127601341762004,0.09158258831032844,0.0857754485344505,0.4189577092388879,0,0,0,1,0,0,0,3.307,3.261,2.947
0.11175756598781207,0.17035488570562093,-0.4806081195524435,0.6674136252814171,-0.8849433419119442,-0.8105644532291223,-0.6231778883327252,0,0,0,0,1,0,0,5.913,4.361,6.357
-0.590308371782961,-0.3919346466808587,-0.8363654114014456,0.36028927163051877,-0.932542091717545,-0.9473312102763299,-1.0606817136853126,0,0,0,0,1,0,0,2.653,2.903,2.642
-0.3168721644406599,-0.37532243814975863,-0.4663778278784834,-0.7622412607192558,0.28297966647600714,0.2683127537568194,0.5831144926054782,0,0,0,0,1,0,0,5.542,5.473,5.88
-0.6050887073149773,-0.37958921881119323,-0.8505957030754058,-0.7873859446438908,-1.108406946262449,-1.1195156534114599,-1.1163910293074586,0,0,0,0,1,0,0,1.441,1.399,1.223
-0.5533575329529203,-0.394726878143121,-0.6798322029878847,-0.3509460736662984,-0.45956083049136476,-0.4645609045240348,-0.38251364484505407,0,0,0,0,1,0,0,2.796,2.71,2.891
-0.6050887073149773,-0.39651516121445757,-0.8505957030754058,-1.065773516666635,-0.9876564335977144,-1.001275070625627,-1.1215905654321923,0,0,0,0,1,0,0,1.003,1.005,1.003
-0.5829182040169529,-0.39587200677652074,-0.7794442447056052,-1.8587290847185156,-1.014211525594523,-1.0170768074956231,-0.9834314626892698,0,0,0,0,1,0,0,2.611,2.044,3.2
0.4554003671071905,-0.30151654472310535,0.41590025590704194,1.290642576842012,1.769563778825665,1.7193481084050835,1.1498639302014444,0,0,0,0,1,0,0,6.324,5.407,5.177
-0.5607477007189284,-0.24371107877683176,-0.7509836613576851,-0.25306141124539805,-0.9275316970011661,-0.9337090233194368,-0.9351500558167433,0,0,0,0,1,0,0,2.207,2.085,2.042
-0.5976985395489691,0.25239629327658725,-0.8221351197274855,-0.6733368425571536,-1.1955878143274439,-1.2050629875007492,-1.2619780408000003,0,0,0,0,1,0,0,2.129,2.073,1.755
