Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,7639232,angular/protractor,JavaScript,517.0,9509.0,254.0,2675,4.81,15.407
0,1944156,olivernn/lunr.js,JavaScript,46.0,4095.0,37.0,3344,1.444,3.639
0,4287921,reactphp/reactphp,PHP,145.0,1367.0,33.0,3564,4.054,6.494
0,1713774,TTTAttributedLabel/TTTAttributedLabel,Objective-C,135.0,1653.0,83.0,3384,3.645,13.541
0,148829497,o2sh/onefetch,Rust,249.0,27249.0,121.0,1019,3.564,21.36
0,47524979,guarinogabriel/Mac-CLI,Shell,71.0,11728.0,48.0,2608,1.795,10.213
0,117152902,oclif/oclif,TypeScript,166.0,3911.0,49.0,1427,2.166,6.377
0,64290739,dodyg/practical-aspnetcore,C#,22.0,44622.0,31.0,1287,1.971,4.094
0,66641037,LonamiWebs/Telethon,Python,310.0,8186.0,153.0,2091,5.848,11.404
0,31935508,yiminghe/async-validator,TypeScript,61.0,1128.0,43.0,2716,3.246,3.624
0,190416463,actions/runner-images,PowerShell,420.0,10534.0,257.0,406,4.588,8.864
0,80016159,graphql/graphql-playground,TypeScript,256.0,7888.0,97.0,1544,2.249,10.943
0,976994,pennersr/django-allauth,Python,895.0,11606.0,409.0,4631,4.119,39.70675109302316
0,93565582,howtographql/howtographql,TypeScript,635.0,15528.0,390.0,1603,8.797,12.07
0,40963709,cookpete/react-player,JavaScript,160.0,9099.0,128.0,3088,6.68,6.799
0,1834386,jakesgordon/javascript-state-machine,JavaScript,13.0,1616.0,8.0,2336,1.415,4.127
0,9004802,phpspec/prophecy,PHP,245.0,833.0,105.0,3969,5.452,16.837
0,160466659,DataV-Team/DataV,Vue,9.0,3158.0,7.0,1674,1.367,2.287
0,122728925,terkelg/prompts,JavaScript,105.0,8698.0,59.0,2159,2.216,9.348
0,90433420,MorvanZhou/Reinforcement-learning-with-tensorflow,Python,8.0,438.0,6.0,1910,1.317,3.186
0,173333035,qubvel/segmentation_models.pytorch,Python,103.0,6235.0,46.0,1647,2.562,9.166
0,13597334,shipshapecode/tether,JavaScript,1101.0,8936.0,60.0,3764,4.145,15.699
0,235434204,benbusby/whoogle-search,Python,24.0,2512.0,117.0,229,2.933,5.013
0,206874323,imsnif/bandwhich,Rust,66.0,5308.0,43.0,273,3.988,9.656
0,33041626,hardikvasa/google-images-download,Python,40.0,260.0,31.0,1494,2.491,4.939
0,131236938,drogonframework/drogon,C++,892.0,5423.0,128.0,2112,1.664,26.814
0,148892884,vueComponent/ant-design-vue-pro,Vue,81.0,6775.0,49.0,1412,2.456,5.091
0,1714160,NaturalNode/natural,JavaScript,319.0,13888.0,122.0,4595,3.063,9.32
0,5627682,serbanghita/Mobile-Detect,PHP,100.0,4228.0,92.0,3782,3.11,4.148
0,3476845,JamesNK/Newtonsoft.Json,C#,309.0,26412.0,108.0,4309,4.866,10.522
