Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,lennylxx/ipv6-hosts,Python,49,7572,8,1608,1.944,1.896,1.816,4.934,3.929,4.719
0,HackSoftware/Django-Styleguide,Python,44,508,15,1914,2.201,2.102,1.759,5.335,5.351,4.684
0,NVIDIA-AI-IOT/torch2trt,Python,120,8071,19,1712,3.078,2.878,2.547,3.875,3.614,4.125
0,openatx/uiautomator2,Python,39,1725,29,2005,2.683,2.526,1.999,2.726,2.456,2.566
0,vibora-io/vibora,Python,32,374,23,34,4.489,4.544,4.188,1.573,1.497,1.355
0,newsapps/beeswithmachineguns,Python,56,249,30,2730,5.375,5.043,4.06,5.309,4.392,5.369
0,mwouts/jupytext,Python,356,27428,78,1195,6.407,5.88,4.381,11.767,10.585,14.058
0,ufoym/deepo,Python,17,375,9,646,1.978,1.884,1.722,2.734,2.2,3.166
0,chineseocr/chineseocr,Python,7,36625,4,443,1.146,1.142,1.107,2.085,2.228,2.137
0,MithrilJS/mithril.js,JavaScript,51,12685,244,3235,2.235,2.231,2.366,1.576,1.48,1.559
0,myliang/x-spreadsheet,JavaScript,66,4066,27,1803,2.223,2.112,1.683,3.372,2.922,2.87
0,clauderic/react-sortable-hoc,JavaScript,123,22350,63,1825,4.253,3.946,2.733,4.199,3.734,3.917
0,reactstrap/reactstrap,JavaScript,846,7601,256,2891,5.211,5.082,5.331,10.584,10.414,10.153
0,vuestorefront/vue-storefront,TypeScript,670,111540,276,1479,6.119,6.0,5.677,4.396,4.071,4.914
0,gleitz/howdoi,Python,152,27738,70,4061,4.491,4.244,4.044,2.878,2.283,2.527
0,AudioKit/AudioKit,Swift,66,119520,183,2355,5.453,5.085,4.803,1.644,1.492,1.715
0,PatrickJS/PatrickJS-starter,JavaScript,394,3810,177,3135,2.214,2.116,2.213,7.509,5.789,7.747
0,grab/front-end-guide,JavaScript,14,4399,9,568,1.341,1.316,1.196,3.01,3.583,2.779
0,designmodo/Flat-UI,JavaScript,34,36183,29,1708,3.388,3.219,3.091,1.908,1.729,1.585
0,bower/bower,JavaScript,339,4768,204,3475,5.528,5.168,3.991,2.561,2.516,2.83
0,kriskowal/q,JavaScript,87,1428,71,4029,5.071,4.741,4.263,4.193,3.74,4.401
0,gpujs/gpu.js,JavaScript,22,20529,45,2239,1.681,1.697,1.824,2.433,1.971,2.629
